username,review_date,star_rating,friend_count,reivew_count,review_text
Becca C,8/14/2020,5 ,21,212,LOV is such an amazing vegan restaurant!!  Everything I've had to eat there has been incredible. I came across LOV watching a buzzfeed video which highlighted the kimchi fries which are good but not the best dish there. I was really excited when they opened a location in Toronto!  They've done a really great job with the decor. Even the bathrooms are really cute with fun wallpaper!  At first it was impossible to get a reservation but it seems to have settled down a little. They have a cute patio now too which wraps around to the back of the restaurant!Because of covid they have dividers between the tables inside are using paper menus and have reduced the menu pretty significantly but everything is still great!  The only thing I miss is the wedge salad.
Celine D,9/3/2020,4 ,86,23,"I LOV vegan restaurants! I've wanted to visit this chain since I heard about the location in Montreal . From previous reviews I knew the menu would be limited but I was a little bit disappointed by the options! I've been to many vegan places in Toronto and this one was just mediocre for me in terms of taste and plating. The interior is pretty there are plastic dividers between tables inside and a pretty packed patio. There was only 1 dessert option an $8 brownie so we went somewhere else for dessert. My french fries were very good burger was just okay. The cheese I felt did not add any flavour to it. I also ordered the ""Look of Lov"" cocktail which isn't pictured but it was very good I was hesitant about aquafaba being an ingredient but the foam on top added some texture that I didn't expect almost like an alcoholic latte! Overall I don't think I will be visiting Lov again but it was a cute place to check out and King Street West is always very lively!"
Isabelle W,8/6/2020,5 ,58,98,Everything about this restaurant is so cute down to the food the seating the little screen dividers that look like little windows.. to the bathroom!Ive never been keen on trying vegan food but this restaurant brought me here and I actually loved what I ate.I tried the coconut curry and it was quite flavorful. I like that there was different textures and it wasnt just a puree of veggies. There was different colours textures tastes.. that all meshed together to keep it interesting. I actually really like the added touch of the cashews inside. The waiter was very attentive and very personable.. he was interactive but wasnt in your face. He is great at what he does and really added to the overall experience! Would love to come back and try more items on the menu.
Sonia C,9/20/2020,4 ,128,139,The interior is beautiful and that's what drew me to try this restaurant and it was gorgeous indeed. Totally my aesthetic with an abundance of plants and cute trendy decor. I think the starters were better than the mains. We had beet tare tare and Brussel sprouts. The Brussel sprouts was probably the best I've had anywhere! Usually Brussel sprouts are just pan fried with some oil and garlic but they made it with an addictive orangey savoury sweet tangy sauce! It's hard not to burn Brussel sprouts but they weren't burnt here. My husband didn't really enjoy the burger though because he said it didn't taste like a real burger. I tried the patty and it did taste more like mushrooms but it's vegan so I didn't mind it!
Jenn W,5/29/2020,3 ,13,109,Pre-Covid review: Somehow two orders of fries end up at the table. The LOV poutine ($11) looks great smothered with plenty of miso gravy and vegan mozzarella but tastes like fries covered with a flavourless thick sauce. Stick with the kimchi fries ($8) instead which at least has the fermented cabbage and a creamy sesame dressing for interest.Perhaps an order of Brussel sprouts ($9) to keep everything healthy? They're deep fried and smothered with way too much of that tangy buffalo sauce.  And then the Zen salad ($16) arrives and the guilt momentarily washes away. It's a tasty combination of konjac noodles shredded vegetables (cabbage lettuce daikon carrots) and the extras thrown in for flavour and contrast (chilis and cashew). Maybe healthier options are better at LOV as this was the best of the starters. I thoroughly enjoyed the refreshing cilantro and mint elements. What? Am I a secret healthy eater?Then I take a bite of the mushroom risotto ($19) and taste my favourite dish of the night. Done traditionally the creamy rice and peas would have been good but is made even better with the roasted oyster mushrooms. Okay so perhaps I haven't turned into nutritionist.Yet the LOV lasagna ($19) didn't really excite. While the pasta looked delicious smothered with the vegan mozzarella and cashew cream it tasted bland. The best part of the plate was perhaps the Caesar salad.The gnocchi di casa ($20) was an interesting take on the classic Italian dish except at LOV it's made with sweet potato and buckwheat so there's antioxidant and fibre strewn throughout the dish. The sweetness did help balance the hemp basil and arugula pesto which by itself could have been too strong.Aside from the risotto it's the coconut curry ($18) that impressed. Who would have thought cubes of squash and carrots with a blanched kale could be so delicious when smothered in a cashew and coconut milk curry?
Jasmine L,3/21/2020,4 ,84,405,Slow service on a Saturday night but great atmosphere and take on vegan food! I would definitely come back again to try more :) We ordered the appetizers:-Dumplings (4/5): golden crispy on the outside with hot and savoury mushroom filling on the inside!-Mac &amp; Cheese (2/5): quite flavourless overall and the macaroni noodles were interestingly long We also tried the following main dishes:-Truffles &amp; Caviar (4/5): great option for us low-carb foodies because of the plentiful zucchini noodles drenched with a thinner type of sauce and not overly salty. I loved the savoury tapioca pearls and deliciously executed oyster mushrooms!! -Mushroom Risotto (4/5): definitely the heavier option and honestly so surprising that this is vegan! It's so creamy &amp; rich. I was also in LOV with the oyster mushrooms &amp; peas of this dish!Lastly for dessert we had:-Chocolate Carmelita (4/5): I'm a fan of all the textures in this sweet indulgent dessert! From the unmelted chocolate chips caramel raspberry purée &amp; coconut shreds ?
Lucky M,2/2/2020,4 ,6,20,I heard about this vegan place previously but the other location is a bit far for me. They recently opened one on king which is pretty close for me so I decided to try the brunch there.As everyone else said this place looks stunning - bright and white hanging plants nice wall paper - very instagram worthy I think.We were too lazy to make a reservation and not surprisingly the wait time for 2 would be 30 minutes for a table. However we did not need to wait as we agreed to sit at the bar. We had Apple Pancake. The pancake tastes quite crispy and nice especially there is no milk or egg added. I was never a huge fan of the vegan pastries but I like this pancake better than the regular ones. However there is no real side other than small amounts of strawberries or blueberries on top. It could be a bit too sweet to eat alone for breakfast or brunch.We also had Tofu Benedict. I had other veggie Benedict (Spanish or tomato) before but never really liked it. However this fried tofu goes really well with English muffin and hollandaise sauce. We all enjoyed this dish.The coffee and cocktail here are pretty good too. I think it has the potential to become my favourite vegan brunch. I think I will go back there again in the future.
Tina H,1/25/2020,5 ,70,612,I found out about this place initially from walking by. It looks beautiful. I looked it up and learned it was a vegan restaurant. wat? Definitely doesn't look like one. Ok though!The decor is beautiful. Bright and white inside. Very vast. Hanging plants. White antique windows and doors lined the ceiling. Marble (?) tables. Very beautiful.There were 3 of us and we decided to get a bunch of apps and 2 of us split wine. They were able to accommodate gluten-free and a nut allergy. The arancini balls with rice and fake cheddar in tomato sauce were delicious. It was quite savoury and rich. The onion rings with aioli were also very delicious. The dairy alternatives appear to be soy-based FYI but they had some cashew-based things. We didn't get any with cashew. The dumplings were pretty light and savoury and the sauce was spicy and savoury. Brussels sprouts were delicious. I hear the fritters were good but I didn't try those. The wine we had was an Italian Pinot Grigio and it was light and crisp very delicious.My only feedback would be to incorporate some dessert options that were not only soy-based fake dairy. There's a lot you can do with fruits alone like sorbets and other things but their only options were cheesecake and ice cream with soy milk. Thankfully I was stuffed from dinner so I didn't want any dessert. Everything was very good value. It was around $55 before tip for splitting a bunch of apps and a bottle of wine and I was full and satisfied. Our waitress was absolutely lovely. Very friendly and attentive and made great and honest recommendations. Everything seemed timed really perfectly and I really liked the seat we got. This place is delicious and good value if you're in a group and can split stuff. I would recommend trying it out for sure.
Sarah S,1/4/2020,5 ,200,509,On the outside LOV boasts large windows with some foliage and of course even more foliage as you step inside. You are greeted with ceiling plants and tapestry as you step in. The restaurant feels very inviting and I imagine it would be more so for those who are vegan/vegetarian. We had the mushroom dumplings mushroom risotto Big LOV cheeseburger blue lavender latte and immunity shot. Everything was delicious. The mushroom risotto was somewhat salty but was still tasty. It was surprisingly filling as well! In fact we were barely able to move after our dinner! The immunity shot as you can imagine was hard to drink at first - my bad for making the rookie mistake of doing just the one sip and then continuing the rest (I wanted my bf to try some too) - but you do feel great after. It also helped to cleanse everything that you've eaten previously. I will definitely be coming back - with all of the greenery and the green foods this place would be perfect for brunch during spring!
Freyhan D,2/12/2020,4 ,84,143,"Located in a prime spot downtown around a ton clubs etc this is a great convenient spot for vegans to get some hearty meals or just appetizers and drinks. As a non-vegan I do have to admit that I'm always skeptical of places like this - very plain/basic menu options weird-tasting dishes due to the substitutes they use or just really odd textures to the food. I was satisfied to see that none of this was true for LOV. Great menu options good taste and very close to just ""normal"" food. The gnocchi in particular was pretty good.Service was good and the ambience of the place was quite nice as well. A very noticeable large entrance on the outside and then a very cozy feel inside. Dim lights close tables and simple decorations/plants all add to an intimate dining experience. If I had to nitpick I would say the lack of a waiting area and the tightness inside are a bit too much (I usually don't like sitting so close to the next table that I could partake in their conversations if I wanted to). The portions were maybe a touch small for a couple dishes and prices a touch high. But again nitpicking here because for vegans to have a place like this to come eat at I could definitely see the appeal in this being a great spot if I was in their position."
Emily M,12/4/2019,3 ,78,279,A solid 3.The decor and ambiance is lovely. The service is great.For the price point the food/drinks are disappointing. Nothing was terrible but also nothing was 'wow'. Some would say the menu is eclectic I would say it's unfocused. From burgers to stir fries to gnocchi to lasagna to poke bowls; it's all over the place.It's trying to be everything and not succeeding in my opinion.Note the description of the chocolate caramel tarte is very misleading. It should be called a coconut caramel crumble with a hint of chocolate. Coconut caramel and crumble are the predominant flavours.
